כתובת,"מ""ר",תאריך עסקה,מחיר,גוש/חלקה/תת-חלקה,סוג נכס,חדרים,קומה,שנת בנייה,"מחיר למ""ר",קומות במבנה
דוכיפת 2,132.82,28/12/2020,"2,000,000 ₪",11193-291-8,דירה בבית קומות,5,שלישית ורביעית,2002,"15,058 ₪",3
צופית 12,137.34,08/12/2020,"1,825,000 ₪",11193-299-7,דירה בבית קומות,5,שלישית,2001,"13,321 ₪",3
צופית 12,137.34,31/12/1999,"1,340,000 ₪",11193-299-7,דירה בבית קומות,5,שלישית,2001,"13,321 ₪",3
דוכיפת 8,116,07/12/2020,"2,450,000 ₪",11193-294-1,דירה בבית קומות,5,קרקע,2007,"21,121 ₪",4
דוכיפת 8,116,22/10/2008,"1,350,000 ₪",11193-294-1,דירה בבית קומות,5,קרקע,2007,"21,121 ₪",4
דוכיפת 8,116,22/07/2008,"1,325,000 ₪",11193-294-1,דירה בבית קומות,5,קרקע,2007,"21,121 ₪",4
דוכיפת 8,116,28/11/2007,"1,295,000 ₪",11193-294-1,דירה בבית קומות,5,קרקע,2007,"21,121 ₪",4
צופית 18,155.6,07/10/2020,"2,180,000 ₪",11193-258-43,דירה בבית קומות,6,קומה 4,2019,"14,010 ₪",5
חוחית 5,94.5,06/10/2020,"1,700,000 ₪",11193-329-2,דירת גן,4,קרקע ראשונה,2004,"18,085 ₪",2
חוחית 5,94.5,04/02/2013,"1,400,000 ₪",11193-329-2,דירת גן,4,קרקע ראשונה,2004,"18,085 ₪",2
צופית 4,121.8,04/10/2020,"1,900,000 ₪",11193-308-7,דירה בבית קומות,5,שניה ושלישית,1999,"15,599 ₪",1
דוכיפת 11,93.7,14/09/2020,"1,445,000 ₪",11193-344-19,קרקע למגורים,4,ראשונה,2000,"15,538 ₪",3
דוכיפת 11,93.7,12/07/2000,"974,000 ₪",11193-344-19,קרקע למגורים,4,ראשונה,2000,"15,538 ₪",3
צופית 18,138.7,09/06/2020,"1,920,000 ₪",11193-258-38,דירה בבית קומות,5,קומה 1,2019,"13,843 ₪",5
בת חן 44,145,04/06/2020,"2,220,000 ₪",11193-282-8,דירה בבית קומות,5.5,רביעית חמישית,1999,"15,310 ₪",4
בת חן 44,145,12/02/2018,"2,050,000 ₪",11193-282-8,דירה בבית קומות,5.5,רביעית חמישית,1999,"15,310 ₪",4
בת חן 44,145,04/06/2020,חלק נמכר,11193-282-8,דירה בבית קומות,5.5,רביעית חמישית,1999,"15,310 ₪",4
בת חן 44,145,מחיר,1,11193-282-8,דירה בבית קומות,5.5,רביעית חמישית,1999,"15,310 ₪",4
בת חן 44,145,50%,"1,110,000 ₪",11193-282-8,דירה בבית קומות,5.5,רביעית חמישית,1999,"15,310 ₪",4
בת חן 44,145,2,50%,11193-282-8,דירה בבית קומות,5.5,רביעית חמישית,1999,"15,310 ₪",4
בת חן 44,145,"1,110,000 ₪","2,220,000 ₪",11193-282-8,דירה בבית קומות,5.5,רביעית חמישית,1999,"15,310 ₪",4
צופית 3,67.04,03/05/2020,"1,310,000 ₪",11193-266-4,דירה בבית קומות,3,שניה,2004,"19,552 ₪",3
דוכיפת 13,92.55,25/03/2020,"1,600,000 ₪",11193-344-12,דירה בבית קומות,4,ראשונה,2000,"17,288 ₪",3
דוכיפת 13,94,23/02/2020,"1,950,000 ₪",11193-344-9,דירה בבית קומות,4,קרקע,2000,"20,745 ₪",3
דוכיפת 13,94,17/03/2008,"1,048,000 ₪",11193-344-9,דירה בבית קומות,4,קרקע,2000,"20,745 ₪",3
דוכיפת 13,94,20/09/2001,"1,082,000 ₪",11193-344-9,דירה בבית קומות,4,קרקע,2000,"20,745 ₪",3
